user_genome	is_ani_classification	class_tree_mapped	classification_rule
STP672.12605_R.bin.50	False	7	Rule 2
STP672.12605_R.bin.51	False	2	Rule 2
STP672.12605_R.bin.53	False	2	Rule 2
STP672.12605_R.bin.54	False	2	Rule 2
STP672.12605_R.bin.55	False	3	Rule 2
STP672.12605_R.bin.56	False	2	Rule 2
STP672.12605_R.bin.58	False	2	Rule 2
STP672.12605_R.bin.60	False	2	Rule 2
STP672.12605_R.bin.62	False	3	Rule 2
STP672.12605_R.bin.63	False	3	Rule 2
STP672.12605_R.bin.64	False	2	Rule 2
STP672.12605_R.bin.66	False	7	Rule 2
STP672.12605_R.bin.67	False	2	Rule 2
STP672.12605_R.bin.68	False	2	Rule 2
STP672.12605_R.bin.69	False	2	Rule 2
STP672.12605_R.bin.7	False	2	Rule 2
STP672.12605_R.bin.71	False	2	Rule 2
STP672.12605_R.bin.72	False	2	Rule 2
STP672.12605_R.bin.74	False	3	Rule 2
STP672.12605_R.bin.76	False	3	Rule 2
STP672.12605_R.bin.78	False	2	Rule 2
STP672.12605_R.bin.79	False	8	Rule 2
STP672.12605_R.bin.8	False	3	Rule 2
STP672.12605_R.bin.80	False	3	Rule 2
STP672.12605_R.bin.81	False	2	Rule 2
STP672.12605_R.bin.82	False	6	Rule 2
STP672.12605_R.bin.83	False	2	Rule 2
STP672.12605_R.bin.84	False	2	Rule 2
STP672.12605_R.bin.85	False	2	Rule 2
STP672.12605_R.bin.86	False	3	Rule 2
STP672.12605_R.bin.87	False	3	Rule 2
STP672.12605_R.bin.89	False	2	Rule 2
STP672.12605_R.bin.90	False	2	Rule 2
STP672.12605_R.bin.96	False	2	Rule 2
STP672.12605_R.bin.97	False	2	Rule 2
STP672.12605_R.bin.98	False	2	Rule 2
STP672.12605_R.bin.99	False	5	Rule 2
STP701.12606_R.bin.5	False	7	Rule 2
STP748.12607_R.bin.11	False	8	Rule 2
STP748.12607_R.bin.13	False	8	Rule 2
STP748.12607_R.bin.14	False	3	Rule 2
STP748.12607_R.bin.15	False	3	Rule 2
STP748.12607_R.bin.16	False	8	Rule 2
STP748.12607_R.bin.17	False	8	Rule 2
STP748.12607_R.bin.18	False	5	Rule 2
STP748.12607_R.bin.20	False	1	Rule 2
STP748.12607_R.bin.21	False	8	Rule 2
STP748.12607_R.bin.22	False	2	Rule 2
STP748.12607_R.bin.23	False	7	Rule 2
STP748.12607_R.bin.24	False	2	Rule 2
STP748.12607_R.bin.26	False	3	Rule 2
STP748.12607_R.bin.27	False	2	Rule 2
STP748.12607_R.bin.28	False	5	Rule 2
STP748.12607_R.bin.29	False	3	Rule 2
STP748.12607_R.bin.3	False	3	Rule 2
STP748.12607_R.bin.30	False	8	Rule 2
STP748.12607_R.bin.33	False	2	Rule 2
STP748.12607_R.bin.4	False	3	Rule 2
STP748.12607_R.bin.5	False	5	Rule 2
STP748.12607_R.bin.6	False	5	Rule 2
STP748.12607_R.bin.7	False	3	Rule 2
STP748.12607_R.bin.8	False	8	Rule 2
